radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
UMTS,736,3,17800,5280907,0,-66.167594,-17.399394,2754,247,1,1375278152,1448118326,0
UMTS,736,3,17800,5270929,0,-66.185524,-17.399874,2953,87,1,1375278163,1493808111,0
UMTS,736,1,1200,13193631,0,-66.16584777832,-17.404403686523,1000,17,1,1380103608,1380103608,0
UMTS,736,1,1200,13193302,0,-66.16584777832,-17.404403686523,1000,1,1,1380105992,1380105992,0
UMTS,736,1,1200,13192842,0,-66.165848,-17.398911,1000,2,1,1380117796,1380117796,0
UMTS,736,1,1200,13193901,0,-66.165848,-17.398911,1000,2,1,1380118402,1380118402,0
UMTS,736,1,1200,131944105,0,-66.184216,-17.402172,1000,8,1,1363373250,1367870031,0
GSM,736,1,202,20133,0,-66.183112,-17.402049,1000,7,1,1365211711,1474895008,0
UMTS,736,1,1200,13193633,0,-66.174088,-17.405434,1000,4,1,1367754184,1367754184,0
UMTS,736,1,1200,131944865,0,-66.174087524414,-17.405776977539,1000,1,1,1367754244,1367754244,0
UMTS,736,3,17800,5280918,0,-66.166464,-17.397373,1000,18,1,1371750447,1506521272,0
UMTS,736,2,43400,5276748,0,-66.185073852539,-17.401657104492,1000,1,1,1372529616,1372529616,0
UMTS,736,2,43400,5276217,0,-66.16584777832,-17.397537231445,1000,3,1,1374364213,1374364213,0
UMTS,736,3,17800,5270920,0,-66.166307,-17.401247,2008,13,1,1380315342,1506524587,0
UMTS,736,3,17800,5260918,0,-66.164856,-17.397316,1000,15,1,1380315400,1493745260,0
GSM,736,3,17460,24096,0,-66.18543,-17.398813,1000,6,1,1384376376,1494711827,0
GSM,736,3,17460,24049,0,-66.183151,-17.397812,1000,5,1,1384358299,1384358299,0
UMTS,736,3,17800,2972905,0,-66.168593,-17.402573,3262,3,1,1385195843,1385195843,0
GSM,736,3,17800,28001,0,-66.175657,-17.406169,1000,7,1,1386921594,1386921594,0
GSM,736,3,17800,38243,0,-66.176834106445,-17.405776977539,1000,1,1,1386503310,1386503310,0
UMTS,736,3,17800,5261123,0,-66.168594360352,-17.400283813477,1000,1,1,1393092905,1393092905,0
UMTS,736,3,17800,5271123,0,-66.168715,-17.403215,1000,8,1,1393173935,1494628418,0
UMTS,736,3,17800,5280964,0,-66.169693,-17.405502,1000,5,1,1393173935,1486884345,0
GSM,736,3,17461,34141,0,-66.183700561523,-17.404403686523,1000,2,1,1397423778,1397423778,0
GSM,736,3,17461,34001,0,-66.183303,-17.404256,1118,7,1,1397443605,1505881079,0
UMTS,736,3,17800,5280881,0,-66.177978,-17.400742,2696,6,1,1397443736,1474950035,0
