radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,3,17460,34060,0,-66.238838,-17.333522,1000,3,1,1382240408,1494718957,0
LTE,736,3,27460,23053572,0,-66.221505,-17.389464,1000,10,1,1475548065,1506457051,0
LTE,736,3,37322,5934324,0,-63.169074,-17.755991,1000,14,1,1417060954,1506270951,0
LTE,736,3,47318,2584834,0,-63.265229,-17.861902,8112,149,1,1417383477,1506602265,0
LTE,736,3,47318,2584835,0,-63.258982,-17.844557,1000,3,1,1417383888,1506611312,0
LTE,736,3,27460,20490755,0,-66.292424,-17.393941,2659,5,1,1417402663,1494128003,0
LTE,736,3,47310,2563329,0,-63.144897,-17.65838,2327,3,1,1417520640,1494109599,0
LTE,736,3,27262,17947907,0,-65.765648,-19.576869,1704,11,1,1419360545,1506473783,0
LTE,736,3,27461,20481281,0,-66.148185,-17.395572,1024,17,1,1419963326,1506612961,0
LTE,736,3,27252,18040321,0,-67.113144,-17.956822,1380,12,1,1420001583,1494536185,0
LTE,736,3,27257,18034177,0,-68.130729,-16.495537,3679,3,1,1421203158,1494863332,0
LTE,736,3,27210,17928194,0,-68.074306,-16.541559,1000,2,1,1422771154,1561993411,0
LTE,736,3,27262,17959427,0,-65.767471,-19.569002,1449,30,1,1423510499,1506276242,0
LTE,736,3,27253,17988098,0,-68.152364,-16.493121,1000,3,1,1423714783,1505857228,0
LTE,736,1,30003,3365633,0,-63.183787,-17.791591,1000,17,1,1468390042,1479835131,0
LTE,736,3,47310,2577922,0,-63.118481,-17.760092,1000,5,1,1426113101,1505670485,0
LTE,736,3,47320,2592003,0,-63.131461,-17.785963,4092,13,1,1426328023,1494637012,0
LTE,736,3,27451,20483331,0,-66.157009,-17.428163,2182,27,1,1427635141,1506519144,0
LTE,736,3,47316,2643713,0,-63.099295,-17.798178,1000,10,1,1427643532,1494771356,0
LTE,736,3,47320,2568449,0,-63.124059,-17.787034,2396,25,1,1427742502,1506168893,0
LTE,736,3,27253,18032387,0,-68.161241,-16.48622,2952,18,1,1428039591,1506614265,0
LTE,736,3,47342,2691077,0,-63.199367,-17.772494,1000,32,1,1428691425,1506448106,0
LTE,736,3,47344,2567427,0,-63.19489,-17.80101,8638,33,1,1428708434,1506196050,0
LTE,736,3,47344,2610693,0,-63.183342,-17.789419,1172,30,1,1428708864,1506216508,0
LTE,736,3,47344,2567425,0,-63.183975,-17.781864,5663,53,1,1428807611,1506613030,0
LTE,736,3,47344,2613510,0,-63.190998,-17.782761,1577,14,1,1428963456,1505342381,0
LTE,736,3,47344,2613509,0,-63.188629,-17.779345,6297,30,1,1428963886,1506528451,0
LTE,736,3,27460,20492547,0,-66.194531,-17.393249,3409,12,1,1429059637,1506630181,0
LTE,736,3,27252,17990146,0,-67.107282,-17.951988,1000,5,1,1429061609,1506531707,0
LTE,736,3,47342,2636804,0,-63.200162,-17.779091,2043,19,1,1429146625,1506445121,0
LTE,736,3,27253,17921029,0,-68.136768,-16.494802,1000,12,1,1429317199,1548499646,0
LTE,736,3,47342,2698244,0,-63.190083,-17.778359,1000,6,1,1429748201,1505680084,0
LTE,736,3,47342,2659588,0,-63.193533,-17.777807,2747,123,1,1429748471,1506530003,0
LTE,736,3,27253,17925890,0,-68.123773,-16.511365,2575,11,1,1429830662,1506566813,0
LTE,736,3,47314,2587906,0,-63.230826,-17.834252,2136,30,1,1430066020,1506275007,0
LTE,736,3,47314,2563842,0,-63.223446,-17.843695,1243,7,1,1431106775,1494676740,0
