radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,3,27460,20492545,0,-66.182106,-17.397658,1000,2,1,1446087431,1493817031,0
LTE,736,3,27461,20489730,0,-66.164474487305,-17.401657104492,1000,5,1,1458598172,1491600937,0
LTE,736,2,44401,10241285,0,-66.165741,-17.399746,1000,6,1,1470447501,1494165153,0
LTE,736,1,21000,3083521,0,-66.165365,-17.397401,4535,9,1,1482619625,1584293212,0
LTE,736,2,44401,10267909,0,-66.166534,-17.403717,1000,2,1,1488611133,1489065822,0
LTE,736,2,44401,10267908,0,-66.166954,-17.398375,1000,2,1,1489065822,1554462303,0
LTE,736,2,44401,10267910,0,-66.167221069336,-17.398910522461,1000,1,1,1489065822,1489065822,0
LTE,736,2,44401,10240771,0,-66.178018,-17.398306,4478,6,1,1490768248,1505593995,0
LTE,736,2,44401,10242309,0,-66.186863,-17.402327,1101,19,1,1505842018,1506197316,0
LTE,736,2,44401,10263300,0,-66.181582,-17.400604,1000,6,1,1494107996,1554484404,0
LTE,736,1,21000,3121667,0,-66.169891,-17.397769,1000,2,1,1505933255,1505933255,0
LTE,736,1,21000,3078914,0,-66.173668,-17.404036,1000,1,1,1506260304,1506260304,0
LTE,736,2,44401,10267142,0,-66.183243,-17.399061,4638,7,1,1506193175,1559970276,0
LTE,736,1,21000,3128833,0,-66.181609,-17.400642,2071,9,1,1505092118,1505093057,0
LTE,736,3,47461,20480262,-1,-66.180781,-17.398638,7561,144,1,1546600504,1564765677,0
LTE,736,3,47460,20495108,-1,-66.168071,-17.398092,1666,38,1,1547204638,1561115074,0
LTE,736,3,47461,20480261,-1,-66.173482,-17.402786,3793,36,1,1547313022,1561140230,0
LTE,736,3,47451,20538374,-1,-66.165608,-17.404514,2424,12,1,1547313067,1558361719,0
LTE,736,3,47461,20480260,-1,-66.174677,-17.402091,1000,48,1,1547815492,1564763778,0
LTE,736,2,44401,10249989,-1,-66.180923,-17.399752,1000,1,1,1554462715,1554462715,0
LTE,736,2,44401,10268933,-1,-66.174128,-17.399136,1266,13,1,1555079241,1555085034,0
LTE,736,2,44401,10255365,0,-66.165497,-17.406137,1000,1,1,1560519203,1560519203,0
LTE,736,3,47460,20504581,-1,-66.182295,-17.398793,1000,9,1,1561114965,1564765820,0
LTE,736,3,47461,20516100,-1,-66.177895,-17.405675,1000,2,1,1561802657,1561802751,0
