latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo,pot_db
-17.396179,-66.156981,-50,andy2662,2021-10-17 11:51:35.639678,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.395695,-66.157088,-50,andy2662,2021-10-17 11:51:25.638518,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.395354,-66.157196,-57,andy2662,2021-10-17 11:51:16.630546,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.395183,-66.157274,-56,andy2662,2021-10-17 11:50:56.625956,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.394717,-66.157299,-57,andy2662,2021-10-17 11:50:47.630293,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.394282,-66.157439,-50,andy2662,2021-10-17 11:50:35.632806,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.394021,-66.157531,-50,andy2662,2021-10-17 11:50:16.635699,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.393569,-66.157577,-44,andy2662,2021-10-17 11:50:06.626984,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.393293,-66.157665,-52,andy2662,2021-10-17 11:49:57.635130,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.392736,-66.157815,-57,andy2662,2021-10-17 11:49:45.639744,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.392498,-66.158079,-53,andy2662,2021-10-17 11:49:33.639354,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,1.0
-17.392584,-66.158641,-55,andy2662,2021-10-17 11:49:25.225992,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,1.0
