latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo,id
-17.386818,-66.157755,-49,andy2662,2022-01-01 12:58:06+00:00,xxxxx,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,792
-17.38578,-66.157943,-46,andy2662,2022-01-01 12:58:25+00:00,xxxxx,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,791
-17.386818,-66.157755,-49,andy2662,2022-01-01 12:58:06+00:00,xxxxx,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,790
-17.38578,-66.157943,-46,andy2662,2022-01-01 12:58:25+00:00,xxxxx,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,789
-17.386818,-66.157755,-49,andy2662,2021-10-17 12:58:06.736970+00:00,xxxxx,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,781
-17.38578,-66.157943,-46,andy2662,2021-10-17 12:58:25.723735+00:00,xxxxx,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,780
-17.386818,-66.157755,-49,andy2662,2022-04-01 15:45:56.479984+00:00,xxxxx,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,779
-17.38578,-66.157943,-46,andy2662,2022-04-01 15:45:56.479984+00:00,xxxxx,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,778
-17.356808,-66.200066,-55,andyproject,2021-10-21 14:36:37.196000+00:00,prueba1111,nada,Entel,22,ZTE CORPORATION,736023035923079,MF193A,777
-17.38578,-66.157943,-46,andy2662,2021-10-17 12:58:25.723000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,776
-17.386818,-66.157755,-49,andy2662,2021-10-17 12:58:06.736000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,775
-17.387155,-66.157731,-45,andy2662,2021-10-17 12:57:57.723000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,774
-17.387492,-66.157703,-45,andy2662,2021-10-17 12:57:48.723000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,773
-17.38773,-66.157765,-42,andy2662,2021-10-17 12:57:39.732000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,772
-17.387919,-66.158011,-47,andy2662,2021-10-17 12:57:30.721000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,771
-17.388084,-66.158608,-51,andy2662,2021-10-17 12:57:17.725000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,770
-17.387408,-66.158711,-51,andy2662,2021-10-17 12:57:08.723000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,769
-17.386352,-66.158835,-45,andy2662,2021-10-17 12:56:57.726000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,768
-17.385808,-66.158716,-47,andy2662,2021-10-17 12:56:45.720000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,767
-17.385612,-66.158506,-41,andy2662,2021-10-17 12:56:30.721000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,766
-17.385458,-66.158167,-40,andy2662,2021-10-17 12:56:18.724000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,765
-17.38519,-66.158161,-42,andy2662,2021-10-17 12:55:59.723000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,764
