tecnologia,mcc,net,operador,lac,cellid,latitud,longitud,cobertura,fecha,id
UMTS,736,3,Tigo,37800,7247209,-17.382199,-66.174331,1000,2019-08-09 10:54:50+00:00,151645
UMTS,736,3,Tigo,37800,7246987,-17.381672,-66.170987,1095,2019-08-09 10:54:36+00:00,151644
UMTS,736,3,Tigo,37800,7227039,-17.384484,-66.151715,1000,2019-07-27 11:28:22+00:00,151643
LTE,736,2,Entel,44401,10247432,-17.387432,-66.158722,1000,2019-06-08 00:55:57+00:00,151642
LTE,736,2,Entel,44401,10240007,-17.387226,-66.158646,1000,2019-06-08 00:55:39+00:00,151641
LTE,736,2,Entel,44401,10252041,-17.387142,-66.158531,1000,2019-06-08 00:54:55+00:00,151640
LTE,736,2,Entel,44401,10254852,-17.393442,-66.158485,1000,2019-06-08 00:42:50+00:00,151639
UMTS,736,2,Entel,43401,29525364,-17.393782,-66.174492,1000,2019-06-08 00:29:05+00:00,151638
UMTS,736,2,Entel,43401,29524891,-17.381358,-66.161311,1000,2019-04-15 11:53:30+00:00,151637
GSM,736,3,Tigo,27461,24199,-17.393543,-66.136889,1000,2019-04-14 12:52:54+00:00,151636
LTE,736,2,Entel,44401,10263557,-17.393435,-66.158752,1000,2019-04-13 10:48:03+00:00,151635
UMTS,736,2,Entel,43401,29524941,-17.393435,-66.158752,1000,2019-04-13 10:07:57+00:00,151634
UMTS,736,2,Entel,43401,29524216,-17.393435,-66.158752,1000,2019-04-13 09:48:48+00:00,151633
UMTS,736,2,Entel,43401,29525183,-17.393227,-66.162987,1000,2019-04-13 08:59:26+00:00,151632
UMTS,736,2,Entel,43401,29525182,-17.393227,-66.162987,1000,2019-04-13 09:01:06+00:00,151631
UMTS,736,2,Entel,43401,29525181,-17.393227,-66.162987,1000,2019-04-13 08:51:38+00:00,151630
GSM,736,3,Tigo,27461,24003,-17.391376,-66.152809,1000,2019-04-12 17:50:17+00:00,151629
GSM,736,3,Tigo,27461,14078,-17.391376,-66.152809,1000,2019-04-12 17:50:17+00:00,151628
LTE,736,2,Entel,44401,10278916,-17.393126,-66.152571,1000,2019-04-13 10:18:39+00:00,151627
LTE,736,2,Entel,44401,20544004,-17.393897,-66.16611,1000,2019-04-12 17:20:47+00:00,151626
UMTS,736,2,Entel,43401,29525188,-17.393282,-66.163425,1000,2019-04-13 09:01:06+00:00,151625
UMTS,736,2,Entel,43401,29524467,-17.378836,-66.17542,1831,2019-04-12 12:53:04+00:00,151624
UMTS,736,2,Entel,43401,29524953,-17.378183,-66.151199,1000,2019-04-11 14:53:29+00:00,151623
UMTS,736,2,Entel,43401,29524959,-17.378183,-66.151199,1000,2019-04-11 14:50:30+00:00,151622
UMTS,736,2,Entel,43401,29523789,-17.386649,-66.157913,1000,2019-04-07 19:22:20+00:00,151621
UMTS,736,2,Entel,43401,29525638,-17.381722,-66.156548,1000,2019-04-06 17:38:05+00:00,151620
UMTS,736,2,Entel,43401,29525198,-17.384809,-66.158775,1000,2019-04-06 17:10:24+00:00,151619
UMTS,736,2,Entel,43401,29524589,-17.38448,-66.158496,1000,2019-04-07 14:04:21+00:00,151618
UMTS,736,2,Entel,43401,29525199,-17.384576,-66.158718,1000,2019-04-06 17:11:42+00:00,151617
UMTS,736,2,Entel,43401,29525193,-17.383938,-66.159111,1000,2019-04-06 17:11:42+00:00,151616
UMTS,736,2,Entel,43401,29524572,-17.387386,-66.166948,1025,2019-04-06 16:56:21+00:00,151615
UMTS,736,2,Entel,43401,29525197,-17.386463,-66.156464,2061,2019-04-06 17:36:04+00:00,151614
LTE,736,2,Entel,44403,10282756,-17.384562,-66.158951,1000,2019-04-05 23:14:43+00:00,151613
LTE,736,2,Entel,44403,10282757,-17.384562,-66.158951,1000,2019-04-05 23:06:04+00:00,151612
LTE,736,2,Entel,44401,10295301,-17.387522,-66.167168,1000,2019-04-05 16:18:08+00:00,151611
LTE,736,2,Entel,44401,10300934,-17.391905,-66.157741,1000,2019-04-05 15:43:03+00:00,151610
UMTS,736,2,Entel,43401,29524896,-17.388065,-66.154739,1000,2019-04-05 14:04:55+00:00,151609
LTE,736,2,Entel,44401,10266629,-17.384053,-66.144412,1000,2019-04-14 12:50:48+00:00,151608
LTE,736,2,Entel,44401,10311685,-17.377513,-66.142992,1023,2019-04-14 12:51:01+00:00,151607
LTE,736,2,Entel,44401,10278918,-17.390484,-66.159766,1000,2019-04-07 11:26:35+00:00,151606
UMTS,736,2,Entel,43401,29514280,-17.393871,-66.160026,1000,2019-04-13 09:48:48+00:00,151605
UMTS,736,2,Entel,43401,29524218,-17.394636,-66.157784,1000,2019-03-21 17:03:30+00:00,151604
UMTS,736,2,Entel,43401,29524213,-17.393669,-66.159356,1000,2019-04-13 09:48:48+00:00,151603
UMTS,736,2,Entel,43401,29524219,-17.393452,-66.15986,1000,2019-04-13 09:48:48+00:00,151602
UMTS,736,2,Entel,43401,29525189,-17.384423,-66.166528,6226,2019-04-13 08:59:26+00:00,151601
GSM,736,3,Tigo,27461,24005,-17.394861,-66.144783,1000,2019-03-20 12:47:05+00:00,151600
LTE,736,2,Entel,44401,10290437,-17.394953,-66.144211,1000,2019-03-20 12:47:25+00:00,151599
LTE,736,2,Entel,44401,10290436,-17.393885,-66.146219,1000,2019-03-23 06:59:22+00:00,151598
LTE,736,2,Entel,44402,10295558,-17.385144,-66.1467,3766,2019-04-14 12:54:52+00:00,151597
LTE,736,2,Entel,44401,10295302,-17.381998,-66.167621,1000,2019-04-15 20:15:39+00:00,151596
LTE,736,2,Entel,44401,10277125,-17.380312,-66.166107,1000,2019-04-15 20:14:40+00:00,151595
UMTS,736,3,Tigo,37800,7227073,-17.393271,-66.15043,1000,2019-05-31 17:54:12+00:00,151594
UMTS,736,3,Tigo,37800,7246994,-17.391953,-66.147644,1000,2019-07-17 07:53:09+00:00,151593
UMTS,736,3,Tigo,37800,7228073,-17.392434,-66.151086,1000,2019-05-31 17:54:12+00:00,151592
UMTS,736,3,Tigo,37800,7272963,-17.384515,-66.165392,6271,2019-04-12 13:07:03+00:00,151591
UMTS,736,3,Tigo,37800,7273073,-17.393608,-66.151645,1000,2019-05-15 11:34:59+00:00,151590
UMTS,736,3,Tigo,37800,7247210,-17.390137,-66.170555,1000,2019-02-17 13:52:03+00:00,151589
UMTS,736,3,Tigo,37800,7237018,-17.37956,-66.166,1000,2019-02-17 09:32:23+00:00,151588
GSM,736,3,Tigo,27461,14079,-17.383125,-66.155869,1000,2019-02-15 18:05:31+00:00,151587
GSM,736,3,Tigo,27461,34210,-17.388174,-66.154869,1000,2019-02-15 14:56:27+00:00,151586
LTE,736,3,Tigo,47461,20558852,-17.386551,-66.155624,1000,2019-02-14 19:34:55+00:00,151585
UMTS,736,3,Tigo,37800,7247994,-17.392525,-66.147219,1000,2019-07-17 07:53:09+00:00,151584
UMTS,736,3,Tigo,37800,7236994,-17.392434,-66.147634,1000,2019-07-17 08:07:56+00:00,151583
UMTS,736,3,Tigo,37800,7247242,-17.393407,-66.145393,1000,2019-03-08 09:12:22+00:00,151582
UMTS,736,3,Tigo,37800,7226965,-17.394568,-66.148377,1000,2019-05-31 17:54:54+00:00,151581
UMTS,736,3,Tigo,37800,7237972,-17.386675,-66.168995,2922,2019-02-17 13:54:03+00:00,151580
UMTS,736,3,Tigo,37800,7237233,-17.388079,-66.136749,2411,2019-06-07 09:51:47+00:00,151579
UMTS,736,3,Tigo,37800,7248073,-17.394548,-66.151761,1000,2019-05-15 11:34:59+00:00,151578
UMTS,736,3,Tigo,37800,7227019,-17.38781,-66.169601,3063,2019-02-17 13:54:03+00:00,151577
UMTS,736,3,Tigo,37800,7237111,-17.380253,-66.142024,1212,2019-03-02 08:53:22+00:00,151576
UMTS,736,3,Tigo,37800,7262968,-17.381411,-66.156654,3275,2019-07-27 11:29:19+00:00,151575
