latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo
-17.356921,-66.200123,-57,andres,2021-05-29 12:41:38.748311,Test1,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356978,-66.200167,-57,andres,2021-05-29 12:41:22.399478,Test1,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356806,-66.200027,-63,andres,2021-05-28 23:09:18.123154,test1,nada,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.356813,-66.200041,-63,andres,2021-05-28 23:07:26.737233,test2,nada,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.356856,-66.20005,-63,andres,2021-05-28 23:05:00.368285,test1,nada,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.356949,-66.200056,-61,andres,2021-05-28 23:00:18.107614,test1,nada,Tigo,26,ZTE CORPORATION,736030057419257,MF193A
-17.356907,-66.200032,-57,andres,2021-05-28 22:56:57.782272,test1,nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356861,-66.200076,-65,andres,2021-05-28 17:40:04.787566,test1,nada,Tigo,24,ZTE CORPORATION,736030057419257,MF193A
-17.356796,-66.20005,-65,paco,2021-05-28 17:13:56.772637,test1,Nada,Tigo,24,ZTE CORPORATION,736030057419257,MF193A
-17.356793,-66.200046,-63,paco,2021-05-28 17:13:48.768106,test1,Nada,Tigo,25,ZTE CORPORATION,736030057419257,MF193A
-17.356781,-66.200031,-55,paco,2021-05-28 17:13:38.793282,test1,Nada,Tigo,29,ZTE CORPORATION,736030057419257,MF193A
-17.356891,-66.20004,-57,paco,2021-05-28 16:37:03.760236,test1,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356827,-66.200014,-59,andres,2021-05-28 16:36:40.761388,test1,nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356812,-66.20002,-59,andres,2021-05-28 16:35:44.767605,test1,nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356918,-66.200037,-61,andres,2021-05-28 16:31:12.766106,test1,nada,Tigo,26,ZTE CORPORATION,736030057419257,MF193A
-17.356843,-66.200142,-57,paco,2021-05-28 16:14:13.774204,Test paco,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356841,-66.200126,-57,paco,2021-05-28 16:14:04.402313,Test paco,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356808,-66.200115,-59,paco,2021-05-28 16:13:46.764537,Test paco,Nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356788,-66.200114,-57,paco,2021-05-28 16:13:33.774490,Test paco,Nada,Tigo,28,ZTE CORPORATION,736030057419257,MF193A
-17.356774,-66.200116,-59,paco,2021-05-28 16:13:25.761845,Test paco,Nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356813,-66.200118,-59,paco,2021-05-28 16:13:17.757516,Test paco,Nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356807,-66.200122,-59,paco,2021-05-28 16:13:09.760814,Test paco,Nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
-17.356872,-66.200046,-59,paco,2021-05-28 16:12:35.774185,Test paco,Nada,Tigo,27,ZTE CORPORATION,736030057419257,MF193A
